depth,Ca,Sr,Fe,Rb,K,Mo,V,S
5,374097.5933,1713.306667,643,6.5,NA,14.33,22.07,2018.146667
10,367558.45,1695.306667,698.35,6.163333333,292.16,12.52666667,21.75,1848.236667
15,367870.2733,1732.013333,996.7,7.656666667,315.25,14.34333333,25.185,1890.873333
20,370937.6767,1711.69,626.56,6.873333333,NA,13.75333333,23.83,1597.04
25,389291.7533,1495.443333,465.07,4.555,NA,7.076666667,23.51,1700.32
30,378661.3967,1503.203333,528.78,4.28,NA,7.513333333,27.08,1434.973333
35,381814.3567,1686.366667,650.82,6.986666667,NA,14.55333333,NA,1597.466667
40,382540.5933,1670.63,607.01,5.033333333,NA,12.32333333,24.37,1702.33
45,357279.22,1491.783333,740.5666667,5.853333333,358.5233333,9.823333333,27.75,1552.26
50,371392.8133,1726.776667,375.6033333,5.41,NA,13.38,27.71,1616.08
55,384279.73,1665.923333,416.52,5.606666667,NA,11.44333333,24.23,1676.596667
60,322731.3333,1249.856667,309.34,3.74,NA,6.186666667,NA,1361.856667
65,361735.66,1735.79,509.1166667,6.65,NA,17.17,22.24,1153.773333
70,361841.29,1768.38,467.85,7.15,NA,16.04666667,30.51,1568.486667
75,379768.6167,1564.19,357.49,4.11,NA,8.466666667,24.985,1583.476667
80,359411.0933,1579.223333,487.8966667,5.14,NA,12.08,NA,1772.11
85,379498.3,1622.25,646.41,6.08,NA,12.14,22.63,1596.93
90,376520.0733,1869,566.2533333,7.993333333,NA,18.57,27.13,1923.49
95,372115.6467,1870.423333,576.1733333,7.523333333,NA,17.9,28.73,1516.953333
100,372721.54,2208.84,593.9366667,7.726666667,NA,18.27333333,25.805,1475.673333
105,350115.3667,2089.606667,1048.613333,7.726666667,437.1433333,18.43666667,27.18333333,1489.27
110,354633.76,1779.33,1111.223333,5.793333333,689.65,9.34,28.54,1585.756667
115,323831.22,1723.643333,1066.21,8.09,713.9866667,11.05333333,23.47666667,1550.513333
120,316945,1838.326667,1441.313333,8.11,869.6433333,10.40666667,29.50333333,1346.023333
